time_1,time_2,gols_1,gols_2,data,ano,país_sede,comparecimento,resultado,rodada,gols_1_detalhes,gols_2_detalhes,gols_1_contra,gols_2_contra,gols_1_penalti,gols_2_penalti,cartao_vermelho_1,cartao_vermelho_2,cartao_amarelo_1,cartao_amarelo_2,copa
Spain,England,1,0,2023-08-20,2023,"Australia, New Zealand",75784,1–0,Final,Olga Carmona · 29’,,,,,,,,['78’|1:0|Salma Paralluelo'],['55’|1:0|Lauren Hemp'],Feminina
Sweden,Australia,2,0,2023-08-19,2023,"Australia, New Zealand",49461,2–0,Third-place match,Kosovare Asllani · 62’,,,,Fridolina Rolfö (P) · 30’,,,,"['88’|2:0|Elin Rubensson', '90+5’|2:0|Lina Hurtig']",['45+1’|1:0|Katrina Gorry'],Feminina
Australia,England,1,3,2023-08-16,2023,"Australia, New Zealand",75784,1–3,Semi-finals,Sam Kerr · 63’,Ella Toone · 36’|Lauren Hemp · 71’|Alessia Russo · 86’,,,,,,,,"['10’|0:0|Alex Greenwood', '90+5’|1:3|Chloe Kelly']",Feminina
Spain,Sweden,2,1,2023-08-15,2023,"Australia, New Zealand",43217,2–1,Semi-finals,Salma Paralluelo · 81’|Olga Carmona · 89’,Rebecka Blomqvist · 88’,,,,,,,,,Feminina
Australia,France,0,0,2023-08-12,2023,"Australia, New Zealand",49461,(7) 0–0 (6),Quarter-finals,,,,,,,,,['92’|0:0|Katrina Gorry'],,Feminina
England,Colombia,2,1,2023-08-12,2023,"Australia, New Zealand",75784,2–1,Quarter-finals,Lauren Hemp · 45+6’|Alessia Russo · 63’,Leicy Santos · 44’,,,,,,,,,Feminina
Spain,Netherlands,2,1,2023-08-11,2023,"Australia, New Zealand",32021,2–1,Quarter-finals,Salma Paralluelo · 111’,Stefanie van der Gragt · 90+1’,,,Mariona Caldentey (P) · 81’,,,,['35’|0:0|Oihane Hernández'],['61’|0:0|Damaris Egurrola'],Feminina
Japan,Sweden,1,2,2023-08-11,2023,"Australia, New Zealand",43217,1–2,Quarter-finals,Honoka Hayashi · 87’,Amanda Ilestedt · 32’,,,,Filippa Angeldahl (P) · 51’,,,['79’|0:2|Riko Ueki'],,Feminina
Colombia,Jamaica,1,0,2023-08-08,2023,"Australia, New Zealand",27706,1–0,Round of 16,Catalina Usme · 51’,,,,,,,,['70’|1:0|Daniela Arias'],"['41’|0:0|Chantelle Swaby', '45+1’|0:0|Drew Spence']",Feminina
France,Morocco,4,0,2023-08-08,2023,"Australia, New Zealand",13557,4–0,Round of 16,Kadidiatou Diani · 15’|Kenza Dali · 20’|Eugénie Le Sommer · 23’|Eugénie Le Sommer · 70’,,,,,,,,,['57’|3:0|Hanane Aït El Haj'],Feminina
England,Nigeria,0,0,2023-08-07,2023,"Australia, New Zealand",49461,(4) 0–0 (2),Round of 16,,,,,,,Lauren James · 87’,,,,Feminina
Australia,Denmark,2,0,2023-08-07,2023,"Australia, New Zealand",75784,2–0,Round of 16,Caitlin Foord · 29’|Hayley Raso · 70’,,,,,,,,,['66’|1:0|Janni Thomsen'],Feminina
Netherlands,South Africa,2,0,2023-08-06,2023,"Australia, New Zealand",40233,2–0,Round of 16,Jill Roord · 9’|Lineth Beerensteyn · 68’,,,,,,,,['67’|1:0|Daniëlle van de Donk'],,Feminina
Sweden,United States,0,0,2023-08-06,2023,"Australia, New Zealand",27706,(5) 0–0 (4),Round of 16,,,,,,,,,['49’|0:0|Kosovare Asllani'],['119’|0:0|Julie Ertz'],Feminina
Switzerland,Spain,1,5,2023-08-05,2023,"Australia, New Zealand",43217,1–5,Round of 16,,Aitana Bonmatí · 5’|Alba Redondo · 17’|Aitana Bonmatí · 36’|Laia Codina · 45’|Jennifer Hermoso · 70’,Laia Codina (OG) · 11’,,,,,,['73’|1:5|Julia Stierli'],,Feminina
Japan,Norway,3,1,2023-08-05,2023,"Australia, New Zealand",33042,3–1,Round of 16,Risa Shimizu · 50’|Hinata Miyazawa · 81’,Guro Reiten · 20’,Ingrid Syrstad Engen (OG) · 15’,,,,,,,,Feminina
Morocco,Colombia,1,0,2023-08-03,2023,"Australia, New Zealand",17342,1–0,Group stage,Anissa Lahmari · 45+4’,,,,,,,,['90+11’|1:0|Ghizlane Chebbak'],['51’|1:0|Manuela Vanegas'],Feminina
Korea Republic,Germany,1,1,2023-08-03,2023,"Australia, New Zealand",38945,1–1,Group stage,Cho So-hyun · 6’,Alexandra Popp · 42’,,,,,,,,['90+6’|1:1|Marina Hegering'],Feminina
South Africa,Italy,3,2,2023-08-02,2023,"Australia, New Zealand",14967,3–2,Group stage,Hildah Magaia · 67’|Thembi Kgatlana · 90+2’,Arianna Caruso · 74’,Benedetta Orsi (OG) · 32’,,,Arianna Caruso (P) · 11’,,,,,Feminina
Argentina,Sweden,0,2,2023-08-02,2023,"Australia, New Zealand",17907,0–2,Group stage,,Rebecka Blomqvist · 66’,,,,Elin Rubensson (P) · 90’,,,['45+4’|0:0|Camila Gómez Ares'],['20’|0:0|Olivia Schough'],Feminina
Jamaica,Brazil,0,0,2023-08-02,2023,"Australia, New Zealand",27638,0–0,Group stage,,,,,,,,,['30’|0:0|Cheyna Matthews'],,Feminina
Panama,France,3,6,2023-08-02,2023,"Australia, New Zealand",40498,3–6,Group stage,Marta Cox · 2’|Lineth Cedeño · 87’,Maëlle Lakrar · 21’|Kadidiatou Diani · 28’|Léa Le Garrec · 45+5’|Vicki Bècho · 90+10’,,,Yomira Pinzón (P) · 64’,Kadidiatou Diani (P) · 37’|Kadidiatou Diani (P) · 52’,,,['66’|2:5|Yomira Pinzón'],,Feminina
Vietnam,Netherlands,0,7,2023-08-01,2023,"Australia, New Zealand",8215,0–7,Group stage,,Lieke Martens · 8’|Katja Snoeijs · 11’|Esmee Brugts · 18’|Jill Roord · 23’|Daniëlle van de Donk · 45’|Esmee Brugts · 57’|Jill Roord · 83’,,,,,,,['83’|0:6|Dương Thị Vân'],,Feminina
Portugal,United States,0,0,2023-08-01,2023,"Australia, New Zealand",40958,0–0,Group stage,,,,,,,,,"['56’|0:0|Carole Costa', '72’|0:0|Diana Gomes', '85’|0:0|Catarina Amado']","['39’|0:0|Rose Lavelle', '52’|0:0|Sophia Smith', '81’|0:0|Naomi Girma']",Feminina
Haiti,Denmark,0,2,2023-08-01,2023,"Australia, New Zealand",17897,0–2,Group stage,,Sanne Troelsgaard Nielsen · 90+10’,,,,Pernille Harder (P) · 21’,,,,['66’|0:1|Karen Holmgaard'],Feminina
China PR,England,1,6,2023-08-01,2023,"Australia, New Zealand",13497,1–6,Group stage,,Alessia Russo · 4’|Lauren Hemp · 26’|Lauren James · 41’|Lauren James · 65’|Chloe Kelly · 77’|Rachel Daly · 84’,,,Wang Shuang (P) · 57’,,,,,['56’|0:3|Lucy Bronze'],Feminina
Japan,Spain,4,0,2023-07-31,2023,"Australia, New Zealand",20957,4–0,Group stage,Hinata Miyazawa · 12’|Riko Ueki · 29’|Hinata Miyazawa · 40’|Mina Tanaka · 82’,,,,,,,,,"['45+1’|3:0|Olga Carmona', '89’|4:0|Oihane Hernández']",Feminina
Costa Rica,Zambia,1,3,2023-07-31,2023,"Australia, New Zealand",8117,1–3,Group stage,Melissa Herrera · 47’,Lushomo Mweemba · 3’|Racheal Kundananji · 90+3’,,,,Barbra Banda (P) · 31’,,,"['6’|0:1|Katherine Alvarado', '21’|0:1|Mariana Benavides', '23’|0:1|Valeria del Campo']","['40’|0:2|Martha Tembo', '66’|1:2|Barbra Banda']",Feminina
